@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
65,'2026/06/11 16:30:24:047',2,0.130993,0.561163,0.028863,0.027227,1,0.021012,0.14,0.54,0,0.1
66,'2026/06/11 16:30:24:048',2,0.130993,0.561163,0.028863,0.027227,1,0.021012,0.14,0.54,0,0.1
67,'2026/06/11 16:30:24:081',2,0.157974,0.556801,0.03938,0.028527,1,0.023326,0.14,0.54,0,0.1
68,'2026/06/11 16:30:24:082',2,0.157974,0.556801,0.03938,0.028527,1,0.023326,0.14,0.54,0,0.1
69,'2026/06/11 16:30:24:783',4,0.499483,0.585687,0.028021,0.011173,1,0.039706,0.5,0.6,0,0.18
70,'2026/06/11 16:30:24:787',4,0.499483,0.585687,0.028021,0.011173,1,0.039706,0.5,0.6,0,0.18
71,'2026/06/11 16:30:24:823',4,0.491547,0.614204,0.0291,0.01846,1,0.039908,0.5,0.6,0,0.18
72,'2026/06/11 16:30:24:826',4,0.491547,0.614204,0.0291,0.01846,1,0.039908,0.5,0.6,0,0.18
73,'2026/06/11 16:30:24:862',4,0.502008,0.61092,0.023096,0.015934,1,0.031584,0.5,0.6,0,0.18
74,'2026/06/11 16:30:24:863',4,0.502008,0.61092,0.023096,0.015934,1,0.031584,0.5,0.6,0,0.18
75,'2026/06/11 16:30:24:898',4,0.501519,0.612399,0.021143,0.021684,1,0.037054,0.5,0.6,0,0.18
76,'2026/06/11 16:30:24:902',4,0.501519,0.612399,0.021143,0.021684,1,0.037054,0.5,0.6,0,0.18
77,'2026/06/11 16:30:24:937',4,0.487668,0.623039,0.021602,0.013716,1,0.033504,0.5,0.6,0,0.18
78,'2026/06/11 16:30:24:941',4,0.487668,0.623039,0.021602,0.013716,1,0.033504,0.5,0.6,0,0.18
79,'2026/06/11 16:30:24:974',4,0.490467,0.580994,0.037806,0.014924,1,0.032388,0.5,0.6,0,0.18
80,'2026/06/11 16:30:24:975',4,0.490467,0.580994,0.037806,0.014924,1,0.032388,0.5,0.6,0,0.18
81,'2026/06/11 16:30:25:019',4,0.497092,0.604184,0.030456,0.028694,1,0.034324,0.5,0.6,0,0.18
82,'2026/06/11 16:30:25:023',4,0.497092,0.604184,0.030456,0.028694,1,0.034324,0.5,0.6,0,0.18
83,'2026/06/11 16:30:25:052',4,0.490593,0.594789,0.033434,0.016,1,0.035037,0.5,0.6,0,0.18
84,'2026/06/11 16:30:25:053',4,0.490593,0.594789,0.033434,0.016,1,0.035037,0.5,0.6,0,0.18
85,'2026/06/11 16:30:25:088',4,0.484612,0.597914,0.039969,0.029922,1,0.024263,0.5,0.6,0,0.18
86,'2026/06/11 16:30:25:089',4,0.484612,0.597914,0.039969,0.029922,1,0.024263,0.5,0.6,0,0.18
87,'2026/06/11 16:30:25:123',4,0.491547,0.621663,0.037617,0.027585,1,0.023155,0.5,0.6,0,0.18
88,'2026/06/11 16:30:25:128',4,0.491547,0.621663,0.037617,0.027585,1,0.023155,0.5,0.6,0,0.18
89,'2026/06/11 16:30:25:160',4,0.512015,0.610177,0.032234,0.029745,1,0.020156,0.5,0.6,0,0.18
90,'2026/06/11 16:30:25:163',4,0.512015,0.610177,0.032234,0.029745,1,0.020156,0.5,0.6,0,0.18
91,'2026/06/11 16:30:25:197',4,0.511416,0.589969,0.033268,0.028779,1,0.022309,0.5,0.6,0,0.18
92,'2026/06/11 16:30:25:201',4,0.511416,0.589969,0.033268,0.028779,1,0.022309,0.5,0.6,0,0.18
93,'2026/06/11 16:30:25:238',4,0.485853,0.602661,0.025447,0.022097,1,0.024072,0.5,0.6,0,0.18
94,'2026/06/11 16:30:25:249',4,0.485853,0.602661,0.025447,0.022097,1,0.024072,0.5,0.6,0,0.18
95,'2026/06/11 16:30:25:275',4,0.504833,0.588199,0.029771,0.028107,1,0.021846,0.5,0.6,0,0.18
96,'2026/06/11 16:30:25:278',4,0.504833,0.588199,0.029771,0.028107,1,0.021846,0.5,0.6,0,0.18
97,'2026/06/11 16:30:25:316',4,0.497249,0.588834,0.020071,0.025422,1,0.025239,0.5,0.6,0,0.18
98,'2026/06/11 16:30:25:327',4,0.497249,0.588834,0.020071,0.025422,1,0.025239,0.5,0.6,0,0.18
99,'2026/06/11 16:30:25:352',4,0.508684,0.602584,0.028554,0.010193,1,0.037662,0.5,0.6,0,0.18
100,'2026/06/11 16:30:25:352',4,0.508684,0.602584,0.028554,0.010193,1,0.037662,0.5,0.6,0,0.18
101,'2026/06/11 16:30:25:387',4,0.514541,0.60228,0.036692,0.02165,1,0.022549,0.5,0.6,0,0.18
102,'2026/06/11 16:30:25:388',4,0.514541,0.60228,0.036692,0.02165,1,0.022549,0.5,0.6,0,0.18
103,'2026/06/11 16:30:25:424',4,0.493097,0.619949,0.035922,0.027214,1,0.024202,0.5,0.6,0,0.18
104,'2026/06/11 16:30:25:425',4,0.493097,0.619949,0.035922,0.027214,1,0.024202,0.5,0.6,0,0.18
105,'2026/06/11 16:30:25:459',4,0.490983,0.58014,0.035602,0.027683,1,0.032413,0.5,0.6,0,0.18
106,'2026/06/11 16:30:25:460',4,0.490983,0.58014,0.035602,0.027683,1,0.032413,0.5,0.6,0,0.18
107,'2026/06/11 16:30:25:496',4,0.487564,0.621494,0.037292,0.029524,1,0.037628,0.5,0.6,0,0.18
108,'2026/06/11 16:30:25:497',4,0.487564,0.621494,0.037292,0.029524,1,0.037628,0.5,0.6,0,0.18
109,'2026/06/11 16:30:25:533',4,0.482892,0.611828,0.026644,0.028616,1,0.037281,0.5,0.6,0,0.18
110,'2026/06/11 16:30:25:534',4,0.482892,0.611828,0.026644,0.028616,1,0.037281,0.5,0.6,0,0.18
111,'2026/06/11 16:30:25:572',4,0.511187,0.58834,0.035747,0.012162,1,0.037172,0.5,0.6,0,0.18
112,'2026/06/11 16:30:25:574',4,0.511187,0.58834,0.035747,0.012162,1,0.037172,0.5,0.6,0,0.18
113,'2026/06/11 16:30:25:608',4,0.490008,0.615829,0.029206,0.016104,1,0.024552,0.5,0.6,0,0.18
114,'2026/06/11 16:30:25:610',4,0.490008,0.615829,0.029206,0.016104,1,0.024552,0.5,0.6,0,0.18
115,'2026/06/11 16:30:25:645',4,0.482852,0.584656,0.026565,0.027287,1,0.025582,0.5,0.6,0,0.18
116,'2026/06/11 16:30:25:646',4,0.482852,0.584656,0.026565,0.027287,1,0.025582,0.5,0.6,0,0.18
117,'2026/06/11 16:30:25:680',4,0.505093,0.594984,0.039623,0.020724,1,0.022307,0.5,0.6,0,0.18
118,'2026/06/11 16:30:25:682',4,0.505093,0.594984,0.039623,0.020724,1,0.022307,0.5,0.6,0,0.18
119,'2026/06/11 16:30:25:718',4,0.516934,0.583928,0.039251,0.015309,1,0.028691,0.5,0.6,0,0.18
120,'2026/06/11 16:30:25:719',4,0.516934,0.583928,0.039251,0.015309,1,0.028691,0.5,0.6,0,0.18
121,'2026/06/11 16:30:25:757',4,0.508228,0.590684,0.032124,0.020228,1,0.031532,0.5,0.6,0,0.18
122,'2026/06/11 16:30:25:758',4,0.508228,0.590684,0.032124,0.020228,1,0.031532,0.5,0.6,0,0.18
123,'2026/06/11 16:30:25:792',4,0.49117,0.610439,0.020034,0.028512,1,0.034389,0.5,0.6,0,0.18
124,'2026/06/11 16:30:25:793',4,0.49117,0.610439,0.020034,0.028512,1,0.034389,0.5,0.6,0,0.18
125,'2026/06/11 16:30:25:830',4,0.50871,0.608531,0.027284,0.011399,1,0.026604,0.5,0.6,0,0.18
126,'2026/06/11 16:30:25:831',4,0.50871,0.608531,0.027284,0.011399,1,0.026604,0.5,0.6,0,0.18
127,'2026/06/11 16:30:25:869',4,0.493301,0.617401,0.034395,0.016006,1,0.028168,0.5,0.6,0,0.18
128,'2026/06/11 16:30:25:870',4,0.493301,0.617401,0.034395,0.016006,1,0.028168,0.5,0.6,0,0.18
129,'2026/06/11 16:30:25:907',4,0.496486,0.589783,0.022546,0.018409,1,0.033546,0.5,0.6,0,0.18
130,'2026/06/11 16:30:25:910',4,0.496486,0.589783,0.022546,0.018409,1,0.033546,0.5,0.6,0,0.18
131,'2026/06/11 16:30:25:945',4,0.514501,0.605776,0.026019,0.020959,1,0.025738,0.5,0.6,0,0.18
132,'2026/06/11 16:30:25:946',4,0.514501,0.605776,0.026019,0.020959,1,0.025738,0.5,0.6,0,0.18
133,'2026/06/11 16:30:25:979',4,0.497476,0.603999,0.033094,0.0193,1,0.024274,0.5,0.6,0,0.18
134,'2026/06/11 16:30:25:987',4,0.497476,0.603999,0.033094,0.0193,1,0.024274,0.5,0.6,0,0.18
135,'2026/06/11 16:30:26:020',4,0.499035,0.620059,0.03592,0.013394,1,0.030309,0.5,0.6,0,0.18
136,'2026/06/11 16:30:26:020',4,0.499035,0.620059,0.03592,0.013394,1,0.030309,0.5,0.6,0,0.18
137,'2026/06/11 16:30:26:717',6,0.864786,0.591759,0.036368,0.025023,1,0.024493,0.86,0.6,0,0.25
138,'2026/06/11 16:30:26:718',6,0.864786,0.591759,0.036368,0.025023,1,0.024493,0.86,0.6,0,0.25
139,'2026/06/11 16:30:26:754',6,0.849169,0.576221,0.024897,0.019503,1,0.021457,0.86,0.6,0,0.25
140,'2026/06/11 16:30:26:754',6,0.849169,0.576221,0.024897,0.019503,1,0.021457,0.86,0.6,0,0.25
141,'2026/06/11 16:30:26:789',6,0.85692,0.606488,0.023889,0.023927,1,0.02488,0.86,0.6,0,0.25
142,'2026/06/11 16:30:26:789',6,0.85692,0.606488,0.023889,0.023927,1,0.02488,0.86,0.6,0,0.25
143,'2026/06/11 16:30:26:824',6,0.865618,0.575277,0.035019,0.025401,1,0.028503,0.86,0.6,0,0.25
144,'2026/06/11 16:30:26:824',6,0.865618,0.575277,0.035019,0.025401,1,0.028503,0.86,0.6,0,0.25
145,'2026/06/11 16:30:26:863',6,0.848332,0.622898,0.030359,0.011004,1,0.036967,0.86,0.6,0,0.25
146,'2026/06/11 16:30:26:864',6,0.848332,0.622898,0.030359,0.011004,1,0.036967,0.86,0.6,0,0.25
147,'2026/06/11 16:30:26:898',6,0.858433,0.615071,0.033352,0.029758,1,0.039001,0.86,0.6,0,0.25
148,'2026/06/11 16:30:26:900',6,0.858433,0.615071,0.033352,0.029758,1,0.039001,0.86,0.6,0,0.25
149,'2026/06/11 16:30:26:935',6,0.874091,0.605633,0.034385,0.020096,1,0.030957,0.86,0.6,0,0.25
150,'2026/06/11 16:30:26:936',6,0.874091,0.605633,0.034385,0.020096,1,0.030957,0.86,0.6,0,0.25
151,'2026/06/11 16:30:26:972',6,0.874299,0.612183,0.029493,0.015184,1,0.032753,0.86,0.6,0,0.25
152,'2026/06/11 16:30:26:973',6,0.874299,0.612183,0.029493,0.015184,1,0.032753,0.86,0.6,0,0.25
153,'2026/06/11 16:30:27:010',6,0.869569,0.601065,0.032535,0.015492,1,0.025715,0.86,0.6,0,0.25
154,'2026/06/11 16:30:27:014',6,0.869569,0.601065,0.032535,0.015492,1,0.025715,0.86,0.6,0,0.25
155,'2026/06/11 16:30:27:044',6,0.851782,0.590985,0.030803,0.012767,1,0.033879,0.86,0.6,0,0.25
156,'2026/06/11 16:30:27:045',6,0.851782,0.590985,0.030803,0.012767,1,0.033879,0.86,0.6,0,0.25
157,'2026/06/11 16:30:27:082',6,0.867431,0.578211,0.028152,0.020852,1,0.024137,0.86,0.6,0,0.25
158,'2026/06/11 16:30:27:083',6,0.867431,0.578211,0.028152,0.020852,1,0.024137,0.86,0.6,0,0.25
159,'2026/06/11 16:30:27:120',6,0.857125,0.620242,0.031682,0.02391,1,0.035312,0.86,0.6,0,0.25
160,'2026/06/11 16:30:27:126',6,0.857125,0.620242,0.031682,0.02391,1,0.035312,0.86,0.6,0,0.25
161,'2026/06/11 16:30:27:158',6,0.855694,0.575295,0.027035,0.02507,1,0.039069,0.86,0.6,0,0.25
162,'2026/06/11 16:30:27:160',6,0.855694,0.575295,0.027035,0.02507,1,0.039069,0.86,0.6,0,0.25
163,'2026/06/11 16:30:27:195',6,0.857085,0.612376,0.030923,0.022065,1,0.024388,0.86,0.6,0,0.25
164,'2026/06/11 16:30:27:195',6,0.857085,0.612376,0.030923,0.022065,1,0.024388,0.86,0.6,0,0.25
165,'2026/06/11 16:30:27:231',6,0.85769,0.576451,0.026723,0.023583,1,0.023301,0.86,0.6,0,0.25
166,'2026/06/11 16:30:27:231',6,0.85769,0.576451,0.026723,0.023583,1,0.023301,0.86,0.6,0,0.25
167,'2026/06/11 16:30:27:271',6,0.858826,0.581381,0.032445,0.010539,1,0.031288,0.86,0.6,0,0.25
168,'2026/06/11 16:30:27:272',6,0.858826,0.581381,0.032445,0.010539,1,0.031288,0.86,0.6,0,0.25
169,'2026/06/11 16:30:27:309',6,0.842976,0.607138,0.022714,0.019234,1,0.027582,0.86,0.6,0,0.25
170,'2026/06/11 16:30:27:310',6,0.842976,0.607138,0.022714,0.019234,1,0.027582,0.86,0.6,0,0.25
171,'2026/06/11 16:30:27:349',6,0.84962,0.591342,0.035225,0.017583,1,0.036638,0.86,0.6,0,0.25
172,'2026/06/11 16:30:27:350',6,0.84962,0.591342,0.035225,0.017583,1,0.036638,0.86,0.6,0,0.25
173,'2026/06/11 16:30:27:387',6,0.851082,0.579095,0.020388,0.020788,1,0.026999,0.86,0.6,0,0.25
174,'2026/06/11 16:30:27:388',6,0.851082,0.579095,0.020388,0.020788,1,0.026999,0.86,0.6,0,0.25
175,'2026/06/11 16:30:27:430',6,0.865405,0.614062,0.033035,0.025085,1,0.023987,0.86,0.6,0,0.25
176,'2026/06/11 16:30:27:430',6,0.865405,0.614062,0.033035,0.025085,1,0.023987,0.86,0.6,0,0.25
177,'2026/06/11 16:30:27:465',6,0.842734,0.582619,0.022524,0.023389,1,0.024359,0.86,0.6,0,0.25
178,'2026/06/11 16:30:27:465',6,0.842734,0.582619,0.022524,0.023389,1,0.024359,0.86,0.6,0,0.25
179,'2026/06/11 16:30:27:504',6,0.867181,0.613345,0.023356,0.022145,1,0.022291,0.86,0.6,0,0.25
180,'2026/06/11 16:30:27:505',6,0.867181,0.613345,0.023356,0.022145,1,0.022291,0.86,0.6,0,0.25
181,'2026/06/11 16:30:27:539',6,0.871495,0.623236,0.022162,0.010514,1,0.033547,0.86,0.6,0,0.25
182,'2026/06/11 16:30:27:540',6,0.871495,0.623236,0.022162,0.010514,1,0.033547,0.86,0.6,0,0.25
183,'2026/06/11 16:30:27:577',6,0.876494,0.594833,0.0343,0.01152,1,0.032545,0.86,0.6,0,0.25
184,'2026/06/11 16:30:27:578',6,0.876494,0.594833,0.0343,0.01152,1,0.032545,0.86,0.6,0,0.25
185,'2026/06/11 16:30:27:611',6,0.845668,0.613624,0.037006,0.022008,1,0.039677,0.86,0.6,0,0.25
186,'2026/06/11 16:30:27:613',6,0.845668,0.613624,0.037006,0.022008,1,0.039677,0.86,0.6,0,0.25
187,'2026/06/11 16:30:27:648',6,0.870175,0.59236,0.028568,0.017411,1,0.026825,0.86,0.6,0,0.25
188,'2026/06/11 16:30:27:650',6,0.870175,0.59236,0.028568,0.017411,1,0.026825,0.86,0.6,0,0.25
189,'2026/06/11 16:30:27:685',6,0.872585,0.616117,0.022111,0.029216,1,0.036574,0.86,0.6,0,0.25
190,'2026/06/11 16:30:27:686',6,0.872585,0.616117,0.022111,0.029216,1,0.036574,0.86,0.6,0,0.25
191,'2026/06/11 16:30:27:723',6,0.867463,0.596774,0.034676,0.029309,1,0.036164,0.86,0.6,0,0.25
192,'2026/06/11 16:30:27:729',6,0.867463,0.596774,0.034676,0.029309,1,0.036164,0.86,0.6,0,0.25
193,'2026/06/11 16:30:27:761',6,0.861374,0.599175,0.028711,0.024621,1,0.037034,0.86,0.6,0,0.25
194,'2026/06/11 16:30:27:766',6,0.861374,0.599175,0.028711,0.024621,1,0.037034,0.86,0.6,0,0.25
195,'2026/06/11 16:30:27:796',6,0.871906,0.579333,0.037633,0.014877,1,0.032207,0.86,0.6,0,0.25
196,'2026/06/11 16:30:27:796',6,0.871906,0.579333,0.037633,0.014877,1,0.032207,0.86,0.6,0,0.25
197,'2026/06/11 16:30:27:834',6,0.855644,0.576435,0.037019,0.013637,1,0.035957,0.86,0.6,0,0.25
198,'2026/06/11 16:30:27:836',6,0.855644,0.576435,0.037019,0.013637,1,0.035957,0.86,0.6,0,0.25
199,'2026/06/11 16:30:27:873',6,0.854252,0.619016,0.034024,0.015525,1,0.038961,0.86,0.6,0,0.25
200,'2026/06/11 16:30:27:874',6,0.854252,0.619016,0.034024,0.015525,1,0.038961,0.86,0.6,0,0.25
201,'2026/06/11 16:30:27:913',6,0.845082,0.611004,0.029772,0.025163,1,0.032918,0.86,0.6,0,0.25
202,'2026/06/11 16:30:27:916',6,0.845082,0.611004,0.029772,0.025163,1,0.032918,0.86,0.6,0,0.25
203,'2026/06/11 16:30:27:947',6,0.85967,0.614647,0.021861,0.014432,1,0.026124,0.86,0.6,0,0.25
204,'2026/06/11 16:30:27:948',6,0.85967,0.614647,0.021861,0.014432,1,0.026124,0.86,0.6,0,0.25
205,'2026/06/11 16:30:28:643',8,0.503262,0.039037,0.020618,0.01851,1,0.036616,0.5,0,0,0
206,'2026/06/11 16:30:28:644',8,0.503262,0.039037,0.020618,0.01851,1,0.036616,0.5,0,0,0
207,'2026/06/11 16:30:28:680',8,0.508114,0.031753,0.015028,0.012413,1,0.032391,0.5,0,0,0
208,'2026/06/11 16:30:28:681',8,0.508114,0.031753,0.015028,0.012413,1,0.032391,0.5,0,0,0
209,'2026/06/11 16:30:28:717',8,0.501435,0.049439,0.013703,0.014328,1,0.044492,0.5,0,0,0
210,'2026/06/11 16:30:28:720',8,0.501435,0.049439,0.013703,0.014328,1,0.044492,0.5,0,0,0
211,'2026/06/11 16:30:28:754',8,0.519064,0.040887,0.01566,0.012011,1,0.03455,0.5,0,0,0
212,'2026/06/11 16:30:28:755',8,0.519064,0.040887,0.01566,0.012011,1,0.03455,0.5,0,0,0
213,'2026/06/11 16:30:28:788',8,0.487178,0.022509,0.020683,0.015486,1,0.041067,0.5,0,0,0
214,'2026/06/11 16:30:28:789',8,0.487178,0.022509,0.020683,0.015486,1,0.041067,0.5,0,0,0
215,'2026/06/11 16:30:28:827',8,0.507897,0.026546,0.027369,0.019818,1,0.041481,0.5,0,0,0
216,'2026/06/11 16:30:28:830',8,0.507897,0.026546,0.027369,0.019818,1,0.041481,0.5,0,0,0
217,'2026/06/11 16:30:28:863',8,0.498776,0.037857,0.013687,0.011028,1,0.039555,0.5,0,0,0
218,'2026/06/11 16:30:28:865',8,0.498776,0.037857,0.013687,0.011028,1,0.039555,0.5,0,0,0
219,'2026/06/11 16:30:28:897',8,0.512885,0.036425,0.011482,0.022589,1,0.032984,0.5,0,0,0
220,'2026/06/11 16:30:28:899',8,0.512885,0.036425,0.011482,0.022589,1,0.032984,0.5,0,0,0
221,'2026/06/11 16:30:28:931',8,0.502514,0.032938,0.029878,0.012369,1,0.042126,0.5,0,0,0
222,'2026/06/11 16:30:28:935',8,0.502514,0.032938,0.029878,0.012369,1,0.042126,0.5,0,0,0
223,'2026/06/11 16:30:28:966',8,0.51163,0.030125,0.020451,0.01901,1,0.047203,0.5,0,0,0
224,'2026/06/11 16:30:28:967',8,0.51163,0.030125,0.020451,0.01901,1,0.047203,0.5,0,0,0
